Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Net forest conversion,Share of global afforestation,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of global net forest conversion,Share of regional afforestation,Share of regional deforestation,Share of regional forest area,Share of regional forest expansion,Share of regional net forest conversion
Canada,2010,,-0.0118909758175269,41.3,0.0118909758175269,0.0,347322.21,0.0,,-41.3,,0.5066887826709982,8.458241657303729,0.0,3.4160745746449512,,,,,
Canada,2015,,-0.010809075740190497,37.52,0.010809075740190497,0.0,347115.71,0.0,,-37.52,,0.4993066663827681,8.499681042539605,0.0,1.3288283502270202,,,,,
Cape Verde,1990,,,,,,15.38,,,,,,0.0003630412300920805,,,,,,,
Cape Verde,2000,3.14,0.7552870090634447,2.84,7.15005035246727,7.905337361530715,39.72,3.14,,0.30000000000000027,0.11334348852487419,0.02214333442750514,0.0009552555785819495,0.03314484402395296,-0.008795564689912374,,,,,
Cape Verde,2010,2.2,0.7022471910112367,1.9,4.4475655430711605,5.149812734082397,42.72,2.2,,0.30000000000000027,0.09835743090390481,0.023310137701571344,0.0010403483370672302,0.03169129224125141,-0.02481410102647667,,,,,
Cape Verde,2015,1.12,0.6784260515603803,0.82,1.854364540931705,2.5327905924920855,44.22,1.12,,0.30000000000000016,0.07301458987965637,0.010912352516894184,0.0010827971332703474,0.02387586256882964,-0.010624960156399419,,,,,
Cayman Islands,1990,,-0.15232292460015232,0.02,0.15232292460015232,0.0,13.13,0.0,,-0.02,,0.00014481053351820812,0.00030993051697717926,0.0,0.0003031966017724875,,,,,
Cayman Islands,2000,,-0.15467904098994587,0.02,0.15467904098994587,0.0,12.93,0.0,,-0.02,,0.00015593897484158552,0.0003109631075293204,0.0,0.0005863709793274911,,,,,
Cayman Islands,2010,,0.0,0.0,0.0,0.0,12.72,0.0,,0.0,,0.0,0.0003097666396885573,0.0,-0.0,,,,,
Cayman Islands,2015,,0.0,0.0,0.0,0.0,12.72,0.0,,0.0,,0.0,0.00031146946031657217,0.0,-0.0,,,,,
Central African Republic,1990,0.0,-0.12929362582424686,30.0,0.12929362582424686,0.0,23203.0,0.0,0.0,-30.0,0.0,0.21721580027731216,0.5477012784022459,0.0,0.45479490265873124,,,,,
Central African Republic,2000,0.0,-0.13098720691612453,30.0,0.13098720691612453,0.0,22903.0,0.0,0.0,-30.0,0.0,0.23390846226237827,0.5508111408928094,0.0,0.8795564689912365,,,,,
Central African Republic,2010,0.0,-0.13272574437021634,30.0,0.13272574437021634,0.0,22603.0,0.0,0.0,-30.0,0.0,0.3680548058142844,0.5504446035283381,0.0,2.4814101026476645,,,,,
Central African Republic,2015,0.0,-0.133612434863938,30.0,0.133612434863938,0.0,22453.0,0.0,0.0,-30.0,0.0,0.39923240915466535,0.5497974679628926,0.0,1.0624960156399414,,,,,
Chad,1990,,,,,,6730.0,,,,,,0.1588600441170157,,,,,,,
Chad,2000,,,,,,6353.0,,,,,,0.15278798315033043,,,,,,,
Chad,2010,,,,,,5530.0,,,,,,0.13467055955013538,,,,,,,
Chad,2015,,,,,,4890.0,,,,,,0.11973943875377654,,,,,,,
Chile,1990,63.61,0.374523237166348,10.11,0.06631225792910295,0.44083549509545095,15246.05,67.21,3.6,57.099999999999994,2.797248924811567,0.07320172469345419,0.35987937230464,0.92934566929896,-0.8656262980604518,,,,,
Chile,2000,53.24,0.5741901465885568,14.21,0.08983970472388675,0.6640298513124437,15817.06,105.03,51.79,90.82,1.9217857735873571,0.11079464162494651,0.38039614304545344,1.1086633655527958,-2.6627106171261365,,,,,
Chile,2010,11.24,1.0412992085025883,11.27,0.06738310794570608,1.1086823164482946,16725.26,185.43,174.19,174.16,0.5025170560726773,0.1382659220508995,0.40730562799665404,2.6711437819523858,-14.405412782570576,,,,,
Chile,2015,2.44,0.698564680315161,9.4,0.05342098922032634,0.7519856695354874,17596.08,132.32,129.89,122.91999999999999,0.15906749938067993,0.12509282153512846,0.43086804569868153,2.8207626206317298,-4.3534003414153855,,,,,
China,1990,1185.0,1.2638364155308315,327.54,0.20843755263996402,1.4722739681707955,157140.59,2313.54,1128.54,1986.0,52.11035962744391,2.3715621074276942,3.7092661307539196,31.99045350022193,-30.107422556008007,,,,,
China,2000,1572.8,1.333882860815969,312.76,0.17670001590390538,1.5105828767198746,177000.55,2673.74,1100.94,2360.9799999999996,56.77281488914717,2.4385736885727143,4.256816787501845,28.223151356880244,-69.22050773863097,,,,,
China,2010,1220.9,0.9654385780037901,329.97,0.16448301428869236,1.1299215922924826,200610.38,2266.74,1045.84,1936.7699999999998,54.58390335935336,4.048234809151315,4.885409064406019,32.65269080678828,-160.19735481683054,,,,,
China,2015,1067.8,0.9209904693066975,133.2,0.06333982027563757,0.9843302895823351,210294.25,2069.99,1002.19,1936.7899999999997,69.61158845847952,1.772591896646714,5.149389666287602,44.12749710611755,-68.59438860437605,,,,,
Colombia,1990,6.87,-0.34215881181326924,229.13,0.3527348535533807,0.010576041740111402,64958.14,6.87,,-222.26,0.30210816087809256,1.6590218772513512,1.5333213946744848,0.09499486308709798,3.3694238354976536,,,,,
Colombia,2000,21.56,-0.30727419084888147,214.33,0.34164069785049933,0.0343665070016179,62735.5,21.56,,-192.77,0.7782438256676074,1.6711200238898511,1.5087723149579024,0.22758052138739673,5.651736684248023,,,,,
